,hour,load_roll_mean_1d,load_lag24,load_roll_std_1d,temp3,dayofy,temp_gradient,temp2,load_roll_mean_2d,temp1,load
2017-01-06 01:00:00,1,81188.4697265625,75881.34375,4326.3937999634345,6.5,6.0,-0.9000000000000004,8.7,80861.89192708333,8.3,75881.34375
2017-01-06 02:00:00,2,81188.4697265625,75303.9453125,4326.3937999634345,6.5,6.0,-0.9000000000000004,8.7,80988.09944661458,8.3,75303.9453125
2017-01-06 03:00:00,3,81188.4697265625,74673.265625,4326.3937999634345,6.5,6.0,-0.9000000000000004,8.7,81093.57698567708,8.3,74673.265625
2017-01-06 04:00:00,4,81188.4697265625,74759.765625,4326.3937999634345,6.5,6.0,-0.9000000000000004,8.7,81188.4697265625,8.3,74759.765625
2017-01-06 05:00:00,5,81188.4697265625,74606.1875,4326.3937999634345,6.5,6.0,-0.9000000000000004,8.7,81188.4697265625,8.3,74606.1875
2017-01-06 06:00:00,6,81188.4697265625,77750.5703125,4326.3937999634345,6.5,6.0,-0.9000000000000004,8.7,81188.4697265625,8.3,77750.5703125
2017-01-06 07:00:00,7,81188.4697265625,77367.25,4326.3937999634345,6.5,6.0,-0.9000000000000004,8.7,81188.4697265625,8.3,77367.25
2017-01-06 08:00:00,8,81188.4697265625,81715.5234375,4326.3937999634345,6.5,6.0,-0.9000000000000004,8.7,81188.4697265625,8.3,81715.5234375
2017-01-06 09:00:00,9,81188.4697265625,83063.8828125,4326.3937999634345,6.5,6.0,-0.9000000000000004,8.7,81188.4697265625,8.3,83063.8828125
2017-01-06 10:00:00,10,81188.4697265625,84555.828125,4326.3937999634345,6.5,6.0,-0.9000000000000004,8.7,81188.4697265625,8.3,84555.828125
2017-01-06 11:00:00,11,81188.4697265625,84419.1328125,4326.3937999634345,6.5,6.0,-0.9000000000000004,8.7,81188.4697265625,8.3,84419.1328125
2017-01-06 12:00:00,12,81188.4697265625,83553.3671875,4326.3937999634345,6.5,6.0,-0.9000000000000004,8.7,81188.4697265625,8.3,83553.3671875
2017-01-06 13:00:00,13,81188.4697265625,82651.2265625,4326.3937999634345,6.5,6.0,-0.9000000000000004,8.7,81188.4697265625,8.3,82651.2265625
2017-01-06 14:00:00,14,81188.4697265625,81697.4453125,4326.3937999634345,6.5,6.0,-0.9000000000000004,8.7,81188.4697265625,8.3,81697.4453125
2017-01-06 15:00:00,15,81188.4697265625,81276.7734375,4326.3937999634345,6.5,6.0,-0.9000000000000004,8.7,81188.4697265625,8.3,81276.7734375
2017-01-06 16:00:00,16,81188.4697265625,80933.8671875,4326.3937999634345,6.5,6.0,-0.9000000000000004,8.7,81188.4697265625,8.3,80933.8671875
2017-01-06 17:00:00,17,81188.4697265625,82651.953125,4326.3937999634345,6.5,6.0,-0.9000000000000004,8.7,81188.4697265625,8.3,82651.953125
2017-01-06 18:00:00,18,81188.4697265625,85695.984375,4326.3937999634345,6.5,6.0,-0.9000000000000004,8.7,81188.4697265625,8.3,85695.984375
2017-01-06 19:00:00,19,81188.4697265625,86496.8125,4326.3937999634345,6.5,6.0,-0.9000000000000004,8.7,81188.4697265625,8.3,86496.8125
2017-01-06 20:00:00,20,81188.4697265625,86496.8125,4326.3937999634345,6.5,6.0,-0.9000000000000004,8.7,81188.4697265625,8.3,86496.8125
2017-01-06 21:00:00,21,81188.4697265625,85440.0703125,4326.3937999634345,6.5,6.0,-0.9000000000000004,8.7,81188.4697265625,8.3,85440.0703125
2017-01-06 22:00:00,22,81188.4697265625,86984.1953125,4326.3937999634345,6.5,6.0,-0.9000000000000004,8.7,81188.4697265625,8.3,86984.1953125
2017-01-06 23:00:00,23,81188.4697265625,85193.3515625,4326.3937999634345,11.7,6.0,0.3999999999999994,11.5,81188.4697265625,10.9,85193.3515625
2017-01-07 00:00:00,0,81188.4697265625,75354.71875,4326.3937999634345,11.7,7.0,0.3999999999999994,11.5,81188.4697265625,10.9,75354.71875
2017-01-07 01:00:00,1,81188.4697265625,75881.34375,4326.3937999634345,11.7,7.0,0.3999999999999994,11.5,81188.4697265625,10.9,75881.34375
2017-01-07 02:00:00,2,81188.4697265625,75303.9453125,4326.3937999634345,11.7,7.0,0.3999999999999994,11.5,81188.4697265625,10.9,75303.9453125
2017-01-07 03:00:00,3,81188.4697265625,74673.265625,4326.3937999634345,11.7,7.0,0.3999999999999994,11.5,81188.4697265625,10.9,74673.265625
2017-01-07 04:00:00,4,81188.4697265625,74759.765625,4326.3937999634345,11.7,7.0,0.3999999999999994,11.5,81188.4697265625,10.9,74759.765625
2017-01-07 05:00:00,5,81188.4697265625,74606.1875,4326.3937999634345,11.7,7.0,0.3999999999999994,11.5,81188.4697265625,10.9,74606.1875
2017-01-07 06:00:00,6,81188.4697265625,77750.5703125,4326.3937999634345,11.7,7.0,0.3999999999999994,11.5,81188.4697265625,10.9,77750.5703125
2017-01-07 07:00:00,7,81188.4697265625,77367.25,4326.3937999634345,11.7,7.0,0.3999999999999994,11.5,81188.4697265625,10.9,77367.25
2017-01-07 08:00:00,8,81188.4697265625,81715.5234375,4326.3937999634345,11.7,7.0,0.3999999999999994,11.5,81188.4697265625,10.9,81715.5234375
2017-01-07 09:00:00,9,81188.4697265625,83063.8828125,4326.3937999634345,11.7,7.0,0.3999999999999994,11.5,81188.4697265625,10.9,83063.8828125
2017-01-07 10:00:00,10,81188.4697265625,84555.828125,4326.3937999634345,11.7,7.0,0.3999999999999994,11.5,81188.4697265625,10.9,84555.828125
2017-01-07 11:00:00,11,81188.4697265625,84419.1328125,4326.3937999634345,11.7,7.0,0.3999999999999994,11.5,81188.4697265625,10.9,84419.1328125
2017-01-07 12:00:00,12,81188.4697265625,83553.3671875,4326.3937999634345,11.7,7.0,0.3999999999999994,11.5,81188.4697265625,10.9,83553.3671875
2017-01-07 13:00:00,13,81188.4697265625,82651.2265625,4326.3937999634345,11.7,7.0,0.3999999999999994,11.5,81188.4697265625,10.9,82651.2265625
2017-01-07 14:00:00,14,81188.4697265625,81697.4453125,4326.3937999634345,11.7,7.0,0.3999999999999994,11.5,81188.4697265625,10.9,81697.4453125
2017-01-07 15:00:00,15,81188.4697265625,81276.7734375,4326.3937999634345,11.7,7.0,0.3999999999999994,11.5,81188.4697265625,10.9,81276.7734375
2017-01-07 16:00:00,16,81188.4697265625,80933.8671875,4326.3937999634345,11.7,7.0,0.3999999999999994,11.5,81188.4697265625,10.9,80933.8671875
2017-01-07 17:00:00,17,81188.4697265625,82651.953125,4326.3937999634345,11.7,7.0,0.3999999999999994,11.5,81188.4697265625,10.9,82651.953125
2017-01-07 18:00:00,18,81188.4697265625,85695.984375,4326.3937999634345,11.7,7.0,0.3999999999999994,11.5,81188.4697265625,10.9,85695.984375
2017-01-07 19:00:00,19,81188.4697265625,86496.8125,4326.3937999634345,11.7,7.0,0.3999999999999994,11.5,81188.4697265625,10.9,86496.8125
2017-01-07 20:00:00,20,81188.4697265625,86496.8125,4326.3937999634345,11.7,7.0,0.3999999999999994,11.5,81188.4697265625,10.9,86496.8125
2017-01-07 21:00:00,21,81188.4697265625,85440.0703125,4326.3937999634345,11.7,7.0,0.3999999999999994,11.5,81188.4697265625,10.9,85440.0703125
2017-01-07 22:00:00,22,81188.4697265625,86984.1953125,4326.3937999634345,11.7,7.0,0.3999999999999994,11.5,81188.4697265625,10.9,86984.1953125
2017-01-07 23:00:00,23,81579.1455078125,85193.3515625,5064.189831639009,23.0,7.0,-0.0500000000000007,19.2,81383.8076171875,23.1,94569.5703125
2017-01-08 00:00:00,0,82053.7880859375,75354.71875,4988.708664489649,23.0,8.0,-0.0500000000000007,19.2,81621.12890625,23.1,86746.140625
2017-01-08 01:00:00,1,82503.70247395833,75881.34375,4893.84691062826,23.0,8.0,-0.0500000000000007,19.2,81846.08610026042,23.1,86679.2890625
2017-01-08 02:00:00,2,82953.61686197917,75303.9453125,4695.493992979602,23.0,8.0,-0.0500000000000007,19.2,82071.04329427083,23.1,86101.890625
2017-01-08 03:00:00,3,83403.53125,74673.265625,4373.895789302825,23.0,8.0,-0.0500000000000007,19.2,82296.00048828125,23.1,85471.2109375
2017-01-08 04:00:00,4,84048.791015625,74759.765625,4181.3469386551415,23.0,8.0,-0.0500000000000007,19.2,82618.63037109375,23.1,90246.0
2017-01-08 05:00:00,5,84732.32486979167,74606.1875,3902.176534047396,23.0,8.0,-0.0500000000000007,19.2,82960.39729817708,23.1,91011.0
2017-01-08 06:00:00,6,85360.67610677083,77750.5703125,3943.009304778321,23.0,8.0,-0.0500000000000007,19.2,83274.57291666667,23.1,92831.0
2017-01-08 07:00:00,7,86101.2490234375,77367.25,4044.241914981352,23.0,8.0,-0.0500000000000007,19.2,83644.859375,23.1,95141.0
2017-01-08 08:00:00,8,86745.810546875,81715.5234375,4519.664515992984,23.0,8.0,-0.0500000000000007,19.2,83967.14013671875,23.1,97185.0
2017-01-08 09:00:00,9,87359.35709635417,83063.8828125,4974.676504095826,23.0,8.0,-0.0500000000000007,19.2,84273.91341145833,23.1,97789.0
2017-01-08 10:00:00,10,87870.03092447917,84555.828125,5293.244761138314,23.0,8.0,-0.0500000000000007,19.2,84529.25032552083,23.1,96812.0
2017-01-08 11:00:00,11,88311.23372395833,84419.1328125,5432.567609886416,23.0,8.0,-0.0500000000000007,19.2,84749.85172526042,23.1,95008.0
2017-01-08 12:00:00,12,88713.51009114583,83553.3671875,5422.382697016455,23.0,8.0,-0.0500000000000007,19.2,84950.98990885417,23.1,93208.0
2017-01-08 13:00:00,13,89096.12565104167,82651.2265625,5298.580976097996,23.0,8.0,-0.0500000000000007,19.2,85142.29768880208,23.1,91834.0
2017-01-08 14:00:00,14,89455.77376302083,81697.4453125,5062.218427371879,23.0,8.0,-0.0500000000000007,19.2,85322.12174479167,23.1,90329.0
