,hour,load_roll_mean_1d,load_lag24,load_roll_std_1d,temp3,dayofy,temp_gradient,temp2,load_roll_mean_2d,temp1,load
2017-10-12 20:00:00,20,75976.04166666667,83691.0,7422.800862906891,62.1,285.0,0.0,59.3,76262.79166666667,62.1,84293.0
2017-10-12 21:00:00,21,75995.70833333333,81519.0,7438.733602360889,62.1,285.0,0.0,59.3,76216.0625,62.1,81991.0
2017-10-12 22:00:00,22,76028.29166666667,77800.0,7448.68643499597,62.1,285.0,0.0,59.3,76182.97916666667,62.1,78582.0
2017-10-12 23:00:00,23,76050.25,73464.0,7441.57175572883,62.1,285.0,0.0,59.3,76158.45833333333,62.1,73991.0
2017-10-13 00:00:00,0,76064.70833333333,69044.0,7427.691516148663,68.2,286.0,1.8000000000000045,60.1,76125.85416666667,64.6,69391.0
2017-10-13 01:00:00,1,76062.5,66461.0,7430.678224063674,68.2,286.0,1.8000000000000045,60.1,76089.70833333333,64.6,66408.0
2017-10-13 02:00:00,2,76037.70833333333,64439.0,7472.022463419757,68.2,286.0,1.8000000000000045,60.1,76046.39583333333,64.6,63844.0
2017-10-13 03:00:00,3,76010.41666666667,63423.0,7521.135927832739,68.2,286.0,1.8000000000000045,60.1,76004.4375,64.6,62768.0
2017-10-13 04:00:00,4,75973.0,63346.0,7588.808309953963,68.2,286.0,1.8000000000000045,60.1,75965.3125,64.6,62448.0
2017-10-13 05:00:00,5,75936.70833333333,64534.0,7647.744864987097,68.2,286.0,1.8000000000000045,60.1,75925.35416666667,64.6,63663.0
2017-10-13 06:00:00,6,75881.95833333333,68330.0,7709.026665450848,68.2,286.0,1.8000000000000045,60.1,75879.64583333333,64.6,67016.0
2017-10-13 07:00:00,7,75834.33333333333,74033.0,7724.461009291654,68.2,286.0,1.8000000000000045,60.1,75832.9375,64.6,72890.0
2017-10-13 08:00:00,8,75799.83333333333,76699.0,7722.279966698117,68.2,286.0,1.8000000000000045,60.1,75798.75,64.6,75871.0
2017-10-13 09:00:00,9,75769.04166666667,77453.0,7716.87300648375,68.2,286.0,1.8000000000000045,60.1,75770.4375,64.6,76714.0
2017-10-13 10:00:00,10,75755.66666666667,78544.0,7712.131018116125,68.2,286.0,1.8000000000000045,60.1,75758.0,64.6,78223.0
2017-10-13 11:00:00,11,75767.375,79560.0,7718.368541358111,68.2,286.0,1.8000000000000045,60.1,75766.10416666667,64.6,79841.0
2017-10-13 12:00:00,12,75796.25,80490.0,7738.075523304031,68.2,286.0,1.8000000000000045,60.1,75785.6875,64.6,81183.0
2017-10-13 13:00:00,13,75834.95833333333,81780.0,7771.560704311984,68.2,286.0,1.8000000000000045,60.1,75821.0625,64.6,82709.0
2017-10-13 14:00:00,14,75906.0,82693.0,7844.428662655253,68.2,286.0,1.8000000000000045,60.1,75868.95833333333,64.6,84398.0
2017-10-13 15:00:00,15,76004.5,82988.0,7951.334976785496,68.2,286.0,1.8000000000000045,60.1,75933.29166666667,64.6,85352.0
2017-10-13 16:00:00,16,76125.0,83078.0,8083.999343846655,68.2,286.0,1.8000000000000045,60.1,76008.02083333333,64.6,85970.0
2017-10-13 17:00:00,17,76247.25,83041.0,8214.26862101974,68.2,286.0,1.8000000000000045,60.1,76081.54166666667,64.6,85975.0
2017-10-13 18:00:00,18,76334.95833333333,82775.0,8297.812789232687,68.2,286.0,1.8000000000000045,60.1,76133.16666666667,64.6,84880.0
2017-10-13 19:00:00,19,76346.83333333333,83638.0,8308.91508465856,68.2,286.0,1.8000000000000045,60.1,76148.89583333333,64.6,83923.0
2017-10-13 20:00:00,20,76314.20833333333,84293.0,8277.836973190448,68.2,286.0,1.8000000000000045,60.1,76145.125,64.6,83510.0
2017-10-13 21:00:00,21,76265.20833333333,81991.0,8246.192776217697,68.2,286.0,1.8000000000000045,60.1,76130.45833333333,64.6,80815.0
2017-10-13 22:00:00,22,76218.29166666667,78582.0,8235.634726359784,68.2,286.0,1.8000000000000045,60.1,76123.29166666667,64.6,77456.0
2017-10-13 23:00:00,23,76205.04166666667,73991.0,8239.628772131968,68.2,286.0,1.8000000000000045,60.1,76127.64583333333,64.6,73673.0
2017-10-14 00:00:00,0,76219.66666666667,69391.0,8227.310573654737,65.7,287.0,2.400000000000002,61.1,76142.1875,60.9,69742.0
2017-10-14 01:00:00,1,76225.08333333333,66408.0,8220.61001077682,65.7,287.0,2.400000000000002,61.1,76143.79166666667,60.9,66538.0
2017-10-14 02:00:00,2,76238.0,63844.0,8200.529383760644,65.7,287.0,2.400000000000002,61.1,76137.85416666667,60.9,64154.0
2017-10-14 03:00:00,3,76238.04166666667,62768.0,8200.457969603927,65.7,287.0,2.400000000000002,61.1,76124.22916666667,60.9,62769.0
2017-10-14 04:00:00,4,76218.16666666667,62448.0,8235.835005140207,65.7,287.0,2.400000000000002,61.1,76095.58333333333,60.9,61971.0
2017-10-14 05:00:00,5,76154.79166666667,63663.0,8341.818079277586,65.7,287.0,2.400000000000002,61.1,76045.75,60.9,62142.0
